Food,Rasa,Virya,Vipaka,Dosha_Effect
Baati with Churma (Rajwadi style),"Sweet, Salty, Astringent",Heating,Sweet,"Balances Vata and Kapha, energizes Pitta mildly"
Corn and Pea Pulao,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata, gentle Kapha pacifier in meals"
Lentil Sprout Salad,"Sweet, Sour, Astringent",Cooling,Sour,"Balances Vata and Kapha, calms Pitta with sour note"
Tofu Pepper Fry,"Pungent, Salty",Heating,Pungent,"Balances Kapha, stimulates Pitta, light on Vata"
Bisi Bele Bath,"Sweet, Salty, Umami",Heating,Sweet,Balances Vata and Pitta; mildly increases Kapha
Rajma Chawal with Jeera,"Sweet, Salty, Pungent",Heating,Sweet,Balances Vata; may increase Kapha if eaten in excess
Miso Maple Glazed Eggplant,"Sweet, Umami, Salty",Heating,Sweet,Balances Pitta; cools Vata slightly
Pakhala Bhata with Mango Pickle,"Sweet, Sour, Salty",Cooling,Sour,Balances Pitta; increases Kapha slightly
Kombu Seaweed Sushi,"Salty, Umami, Sweet",Cooling,Sweet,Balances Kapha; stabilizes Vata
Paneer Beetroot Tikki,"Sweet, Pungent, Astringent",Heating,Pungent,Balances Vata; mildly increases Kapha
Masala Zucchini Pancakes,"Sweet, Spicy (pungent)",Heating,Pungent,Balances Kapha; reduces Vata
Chana Masala with Brown Rice,"Sweet, Sour, Spicy",Heating,Sweet,Balances Pitta; balances Vata; may increase Kapha
Coconut Lemongrass Soup,"Sweet, Sour, Salty",Cooling,Sour,Balances Vata; cools Pitta; grounds Kapha
Sorghum Jowar Salad,"Sweet, Sour, Bitter",Cooling,Sweet,Balances Vata; reduces Kapha; stabilizes Pitta
Baingan Bhartha,"Bitter, Sweet, Sour",Cooling,Sweet,"Pacifies Pitta, gently balances Kapha and Vata"
Bhel Puri,"Sweet, Sour, Salty, Pungent",Cooling,Sweet,"Balances Vata and Kapha, light on Pitta"
Sabudana Khichdi,"Sweet, Salty",Cooling,Sweet,"Nourishes Vata, light for Kapha, Maintains Pitta balance"
Chole (Chickpea Curry),"Sweet, Pungent",Heating,Pungent,"Balances Kapha, Elevates Pitta with chili"
Tadka Chawal (Rice with tempering),"Sweet, Salty, Pungent",Heating,Pungent,"Balances Vata, Increases Pitta with spices"
Mango Rice,"Sweet, Sour",Cooling,Sweet,"Balances Vata and Pitta, Mildly increases Kapha"
Palak Paneer with Coconut Cream,"Sweet, Salty, Astringent",Heating,Sweet,"Balances Vata and Pitta, Slightly increases Kapha"
Aloo Paratha with Mint Yogurt Dip,"Salty, Sour, Pungent",Heating,Pungent,"Balances Vata, Increases Kapha if consumed in excess"
Gobhi Masala with Kurkuri Toast,"Sweet, Pungent, Bitter",Heating,Pungent,"Balances Vata and Pitta, Neutral to Kapha"
Vegetable Biryani with Saffron,"Sweet, Salty, Astringent",Heating,Sweet,Balances all doshas when eaten with moderate portions
Rajma Chawal with Ginger pickle,"Sweet, Salty, Sour",Heating,Sour,"Balances Vata and Kapha, Pitta may be provoked with excess oil"
Matar Paneer with Whole Wheat Roti,"Sweet, Salty, Astringent",Cooling,Sweet,"balances Vata and Kapha, stabilizes Pitta when properly portioned"
Chana Masala with Jeera Rice,"Sweet, Sour, Spicy",Heating,Pungent,"Balances Kapha, stabilizes Vata, pacifies Pitta with yogurt accompaniment"
Baingan Bharta with Whole Lentils,"Bitter, Sour, Sweet",Heating,Sour,"Reduces Vata, eases Pitta, modest Kapha support"
Methi thepla with Yogurt,"Salty, Sour, Astringent",Cooling,Sweet,"Balances Vata and Kapha, supports Pitta in heat"
Veg Burger (Paneer-based),"Salty, Sweet, Umami",Heating,Sweet,"Balancing Kapha, minor Vata stabilization; may mildly elevate Pitta with fried patty"
Tofu Stir-Fry with Quinoa,"Sweet, Salty, Umami",Heating,Sweet,Balances Vata; cooling for Pitta with minimal oil
Sweet Potato Chaat,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Vata and Kapha, pacifies Pitta when mild spices used"
Mujadara (Lentils with Rice),Earthy/Savoury (Salty),Cooling,Sweet,Balances Vata and Kapha; grounding and strengthening
Rajma with Jeera Rice,"Sweet, Salty, Pungent",Heating,Sweet,Balances Vata and Kapha; Pitta-friendly with moderate spice
Kadhi with Rice,"Sour, Sweet, Astringent",Cooling,Sour,Balances Vata and Pitta; light on Kapha
Rasgulla (Savory version),"Sweet, Salty",Cooling,Sweet,Balances Vata and Pitta; not ideal for heavy Kapha rise
Sesame Veggie Sushi,"Savory, Sweet, Sour",Cooling,Sweet,Balances Vata and Kapha; gentle on Pitta with mild wasabi
Lemon Quinoa Salad with Chickpeas,"Sour, Sweet, Salty",Cooling,Sour,Balances Vata and Pitta; very light for Kapha
Methi Thepla (Fenugreek Flatbread),"Pungent, Sweet, Salty",Heating,Pungent,"Balances Vata, can aggravate Pitta with excess fenugreek"
Akhrot Kebab (Walnut Kabob),"Nutty, Sweet",Cooling,Sweet,"Balances Vata and Pitta, nourishing for all doshas"
Tofu Stir Fry with Veggies,"Savory, Sweet",Cooling,Sweet,"Balances Vata, Pitta; light for Kapha"
Palak Paneer with Quinoa,"Sweet, Salty, Astringent",Heating,Sweet,"Balances Vata and Pitta, slightly increases Kapha"
Aloo Paratha with Fenugreek,"Sweet, Salty, Pungent",Heating,Sweet,Balances Vata; may mildly increase Kapha if excess ghee used
Gobhi Masala Stuffed Cauliflower,"Pungent, Sweet, Sour",Heating,Pungent,"Balances Vata and Kapha, pacifies Pitta when not over-spiced"
Makhani Paneer Pasta,"Sweet, Salty, Fatty",Cooling,Sweet,Balances Pitta; can balance Kapha with moderate portion sizes
Veg Biryani with Lentils,"Sweet, Sour, Pungent",Heating,Pungent,Balancing all three doshas with mindful oil use
Paneer Tikka Wrap,"Sweet, Salty, Pungent",Heating,Pungent,"Balances Vata and Pitta, may increase Kapha if heavy cream used"
Masala Dosa with Potato Filling,"Sour, Sweet, Pungent",Heating,Sour,Balances Vata; strengthens Pitta when dosed well
Methi Thepla with Yogurt Dip,"Sweet, Salty, Astringent",Cooling,Sweet,"Balances Vata and Kapha, cools Pitta"
Katsu Paneer Roll,"Sweet, Salty, Umami",Heating,Sweet,Balances all doshas with balanced oil and protein content
Paneer Kimchi Fried Rice,"Salty, Sour, Pungent",Heating,Pungent,"Balances Vata and Kapha, stimulates digestion for Pitta"
Sweet Corn Chutney Chapati,"Sweet, Astringent",Cooling,Sweet,Balances Vata and Pitta; light on Kapha if portion controlled
Murgh Makhani-Inspired Veggie Curry,"Sweet, Sour, Rich",Heating,Sweet,Balances Vata; calms Pitta with rich tomatoes and ghee moderation
Tamarind Lentil Soup (Mukkal Soup),"Sour, Sweet",Cooling,Sour,Pacifies Pitta; balances Vata with hearty lentils
Beetroot and Goat Cheese Salad,"Sweet, Bitter, Astringent",Cooling,Sweet,Balances Kapha and Pitta; light for Vata
Pumpkin Raita with Brown Rice,"Sweet, Salty, Astringent",Cooling,Sweet,Balances Pitta; supports Vata in cool climates
Coconut Lime Rice with Tempeh,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Pitta; light on Kapha, supports Vata in cold weather"
Spinach Chickpea Crepes,"Sweet, Salty, Bitter",Cooling,Sweet,Balances Vata and Kapha; energizes Pitta with non-spicy greens
Vegetable Korma,"Sweet, Creamy, Nutty (Astringent)",Cooling,Sweet,"Calms Vata, supports Pitta when not overly spicy"
Tofu Tikka Masala,"Sweet, Sour, Spicy (Pungent)",Heating,Pungent,Balances Vata and Kapha; can soothe Pitta with coconut milk
Cabbage Sabzi,"Sweet, Sour, Pungent",Heating,Pungent,Stimulates Vata and Pitta; moderate Kapha balance when cooked with mindful oil
Gujarati Thali,"Sweet, Sour, Salty",Heating,Sweet,Balances all three doshas with varied dish combinations
African Jollof Rice,"Sweet, Spicy",Heating,Sweet,Balances all three doshas with varied spice levels
Palak Paneer with a Twist,"Sweet, Salty, Astringent",Cooling,Sweet,"Balances Vata and Pitta, slight increase in Kapha when overused"
Makhani Spaghetti,"Sweet, Salty, Umami",Cooling,Sweet,Balances all doshas when portioned; heavier on Kapha if cheese rich
Quinoa and Lentil Kichdi,"Sweet, Astringent",Cooling,Sweet," balances Vata and Pitta, gentle for Kapha"
Rajma Chawal with Mint,"Sweet, Sour, Salty",Heating,Sweet,Balances Vata and Pitta; reduces Kapha when not overcooked
Tamarind-Glazed Tofu,"Sour, Sweet, Pungent",Heating,Sour,Energizes Agni; can increase Pitta if overused; light for Vata
Chana Masala with Spinach,"Sweet, Salty, Sour",Heating,Pungent,Balances Vata; can aggravate Pitta with heavy spice
Eggless Sattu Paratha,"Sweet, Salty, Astringent",Cooling,Sweet,"Soothing for Vata; light for Kapha, neutral for Pitta"
Tomato Coconut Rice,"Sweet, Sour, Salty",Cooling,Sour,"Soothes Pitta in moderation; balances Kapha, cools Vata"
Bhindi Fry with Peanuts,"Bitter, Pungent, Sweet",Heating,Pungent,"Heating to Agni; may reduce Kapha, can increase Vata if oil heavy"
Coconut Paneer Curry,"Sweet, Salty, Sour",Cooling,Sweet,Balances all doshas when used in balanced amounts
Sweet Potato and Spinach Sabzi,"Sweet, Bitter",Cooling,Sweet,Balances Vata; gentle on Pitta and Kapha
Cabbage and Carrot Stir-Fry with Urad Dal,"Sweet, Astringent, Salty",Cooling,Sweet,"Calms Vata, supports Kapha; light for Pitta"
Masala Paneer Sandwich,"Sweet, Salty, Pungent",Heating,Pungent,Stimulates Kapha and Pitta mildly; balances Vata
Green Moong Dal Soup,"Sweet, Sour",Cooling,Sweet,Soothes Vata and Kapha; gentle for Pitta
Mughlai Paneer,"Sweet, Salty, Pungent",Heating,Pungent,"Balances Pitta, increases Kapha with oil-rich preparation"
Kathi Roll,"Sweet, Salty, Sour",Cooling,Sweet,Balances Vata; may increase Kapha if heavy on mayonnaise and oil
Tandoori Chicken (Veg version),"Sweet, Pungent",Heating,Pungent,Balances Pitta and Vata; reduces Kapha when lean and well-spiced
Samosa (Vegetarian),"Sweet, Salty, Pungent",Heating,Pungent,Stimulates digestion; can aggravate Pitta and Kapha if fried heavy
Rajgira Chhol,"Sweet, Astringent",Cooling,Sweet,Balancing for Vata; gentle for Pitta and Kapha when prepared simply
Saucy Tofu Stir-Fry,"Sweet, Sour, Salty",Heating,Sour,"Balances Vata and Kapha, moderate Pitta warmth"
Curry Leaf Dal,"Sweet, Pungent",Heating,Sweet,Balances Vata; stimulates Pitta mildly with spices
Tofu Stir-Fry,"Sweet, Sour, Salty",Heating,Sweet,Balances Vata and Kapha with mild Pitta rise
Baahubali Pulao,"Sweet, Spicy, Sour",Heating,Sour,"Stabilizes Vata and Kapha, Pitta may rise mildly"
Rogan Josh (veg version),"Sweet, Spicy, Umami",Heating,Pungent,Balances all doshas with Kapha caution
Samosa (vegetarian),"Savoury, Spicy",Heating,Pungent,"Stimulates Vata, balances Kapha, may aggravate Pitta"
Pulao with Lentils,"Sweet, Salty",Heating,Sweet,"Balances Vata, Pitta; slight Kapha increase"
Mushroom Do Pyaza,"Sweet, Sour, Pungent",Heating,Pungent,"Balances Vata and Kapha, Slight Pitta increase"
Corn Masala,"Sweet, Salty, Pungent",Heating,Sweet,Balances Vata; cools Pitta slightly
Alo Gobi,"Pungent, Bitter",Heating,Pungent,Balances Vata; increases Kapha slightly
Saag Aloo,"Sweet, Bitter",Cooling,Sweet,Balances Vata and Pitta; reduces Kapha
Baingan Bharta with Peas,"Sweet, Pungent",Heating,Pungent,Balances Vata; increases Pitta slightly
Matar Kofta,"Sweet, Sour",Heating,Sweet,Balances Vata; increases Kapha slightly
Aloo Gobhi Paratha,"Sweet, Sour, Salty",Heating,Sweet,Balances Vata; increases Kapha slightly
Idli with Sambar,"Sweet, Sour",Cooling,Sweet,Balances Vata and Pitta; mild Kapha rise
Aloo Tamatar,"Sweet, Sour, Salty",Heating,Sweet,Balances Vata; increases Pitta slightly
Baingan Bharta with Methi,"Bitter, Pungent",Heating,Pungent,Balances Vata; increases Pitta slightly
Paneer Makhani,"Sweet, Rich",Cooling,Sweet,Balances Vata; reduces Kapha slightly
Methi Chicken (vegetarian option),"Salty, Pungent",Heating,Pungent,Balances Vata; increases Pitta slightly
Corn Chilli Fry,"Sweet, Salty, Pungent",Heating,Pungent,Balances Vata and Pitta; increases Kapha
Butter Paneer,"Sweet, Salty, Sour",Heating,Sweet,"Balances Vata and Pitta, increases Kapha if heavy on ghee"
Makhani Dal,"Sweet, Bitter",Heating,Sweet,"Balances Vata, mildly reduces Pitta"
Tandoori Chicken Veg,"Pungent, Salty",Heating,Pungent,"Increases Pitta if overused, balances Kapha"
Miso Soup with Veg,"Savory, Sweet",Cooling,Sweet,"Calms Vata and Kapha, supports Pitta balance"
Mayo Veg Wrap,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, neutral for Pitta"
Spiced Lentil Soup,"Sweet, Pungent",Heating,Pungent,"Balances Vata and Kapha, can raise Pitta with extra chili"
Aromatic Rice Pilaf,"Sweet, Salty, Astringent",Cooling,Sweet,Balances all doshas in moderation
Beetroot Hummus,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Vata and Kapha, light on Pitta"
Eggplant Curry,"Bitter, Pungent",Heating,Pungent,"Balances Vata, may aggravate Kapha in excess"
Coriander Chutney,"Sweet, Sour, Pungent",Cooling,Sweet,"Balancing for Vata and Pitta, Kapha neutral"
Sweet Potato Fry,"Sweet, Salty",Cooling,Sweet,"Balances Vata; cools Kapha, neutral for Pitta"
Moong Dal Tadka,"Sweet, Pungent",Heating,Pungent,"Balances Vata, reduces Kapha, may raise Pitta with heavy spices"
Cauliflower Rice,"Sweet, Nutty",Cooling,Sweet,"Balances Vata and Kapha, light on Pitta"
Tomato Dosa,"Sour, Sweet",Heating,Sweet,"Balances Vata, stimulates Pitta mildly"
Roti with Dal,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, neutral for Pitta"
Vegetable Samosa,"Spicy, Salty",Heating,Pungent,"Balances Vata, may aggravate Pitta in excess"
Masala Chai,"Sweet, Spicy",Heating,Sweet,"Balances Kapha, stimulates Agni, can upset Pitta with overstimulation"
Sarson Da Saag,"Bitter, Astringent, Sweet",Cooling,Sweet,"Balances Vata and Pitta, heavy Kapha support"
Tamatar Saar (Tomato Soup),"Sweet, Sour",Cooling,Sour,"Balances Vata and Kapha, may reduce Pitta with light spices"
Daal Fry,"Sweet, Warming, Nutty",Heating,Sweet,"Balances Vata, supports digestion and energy"
Roti and Dal Tadka,"Sweet, Salty",Heating,Sweet,"Balances Vata and Pitta, slight Kapha increase with ghee"
Kathi Roll (Paneer),"Sweet, Spicy",Heating,Sweet,"Balances Vata, can disturb Kapha with heavy fillings"
Sundal (Coconut Chickpea),"Sweet, Sour, Nutty",Cooling,Sweet,"Balances Vata and Pitta, nourishes Kapha with proper portions"
Butter Chicken,"Sweet, Salty, Sour",Heating,Sweet,"Increases Pitta, balances Vata"
Egg Curry,"Salty, Pungent",Heating,Pungent,"Increases Pitta, balances Kapha"
Gobi Masala,"Salty, Spicy (Pungent)",Heating,Pungent,"Increases Pitta, balances Vata"
Quinoa Salad with Chickpeas,"Sweet, Astringent, Sour",Cooling,Sour,"Balances Vata, reduces Kapha slightly"
Tandoori Fish,"Salty, Pungent, Sour",Heating,Pungent,"Raises Pitta, balances Vata slightly"
Paneer Bhurji,"Sweet, Salty, Umami",Heating,Sweet,"Balances Vata and Kapha, neutral for Pitta"
Veggie Burger,"Salty, Sweet, Umami",Cooling,Sweet,"Balances all doshas, slight Vata pacification"
Garlic Naan,"Salty, Pungent",Heating,Pungent,"Increases Pitta, energizes Vata"
Rasam (Tamil Tomato Sambar),"Sour, Pungent",Heating,Sour,"Balances Kapha, reduces Vata in excess"
Butter Chicken (Chicken Makhani),"Sweet, Salty, Umami",Heating,Sweet,"Increases Pitta, balances Kapha, moderate Vata support"
Aubergine Bharta,"Sweet, Sour, Pungent",Heating,Pungent,"Balances Vata, reduces Kapha in some individuals"
Spicy Prawn Fry,"Pungent, Salty",Heating,Pungent,"Increases Pitta, balances Kapha, elevates Vata constraints"
Falafel Wrap,"Sweet, Salty, Sour",Cooling,Sweet,"Balances all doshas, reduces Kapha overload"
Ratatouille with Paneer,"Sweet, Sour, Umami",Cooling,Sweet,"Balances all three doshas, gentle on digestion"
Pesto Pasta with Spinach,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata and Pitta, mildly pacifies Kapha with moderate portion size"
Quinoa Veggie Bowl,"Sweet, Astringent",Cooling,Sweet,"Balances all doshas, supports digestion and energy stability"
Grilled Tofu with Veggies,"Sweet, Salty, Astringent",Cooling,Sweet,"Balances Vata and Kapha, supports Pitta in moderation"
Pani Puri,"Sweet, Sour, Salty",Cooling,Sour,"Increases Pitta, Balances Kapha when eaten in moderation"
Goan Fish Curry,"Sour, Salty, Pungent",Heating,Pungent,"Balances Pitta, Increases Vata when spicy"
Rogan Josh,"Pungent, Sweet, Salty",Heating,Pungent,"Balances Kapha, Increases Vata with heat"
Tom Yum Soup (Vegetarian variant),"Sour, Salty, Umami",Heating,Sour,"Balances Kapha, Increases Pitta with chilies"
Tandoori Chicken,"Spicy, Sour",Heating,Pungent,"Balances Kapha, Reduces Vata when not overcooked"
Agnipurti Coriander Rice,"Herbaceous, Nutty",Cooling,Sweet,"Balances Vata, Pacifies Pitta"
Margherita Pizza,"Sweet, Salty",Cooling,Sweet,Balancing all three doshas in moderation
Spaghetti Aglio e Olio,"Pungent, Salty, Oily",Heating,Pungent,"Increases Pitta, balances Kapha with light portions"
Ghee Rice,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, nourishes all-dosha constitution"
Rogan Josh (Lamb),"Sweet, Pungent, Bitter",Heating,Pungent,"Increases Pitta, balances Vata, can aggravate Kapha in heavy preparations"
Aloo Gobhi,"Sweet, Sour, Astringent",Heating,Sweet,"Balances Vata, reduces Kapha, may elevate Pitta with spices"
Makhani (Butter) Paneer,"Sweet, Rich, Salty",Cooling,Sweet,"Nourishes all doshas, particularly balances Vata; can increase Kapha if overused"
Samosa,"Sweet, Salty, Pungent",Heating,Pungent,"Elevates Kapha when fried, stimulates Vata and Pitta; caution for sensitive hearts"
Quinoa Salad with Veggies,"Sweet, Sour, Astringent",Cooling,Sweet,"Balances all three doshas, especially Vata and Kapha"
Uttapam,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata, gentle for Pitta, neutral to Kapha"
Butter Chicken (Murgh Makhani),"Sweet, Salty, Sour",Heating,Sweet,Balances Vata and Pitta; may increase Kapha due to cream
Fish Curry,"Pungent, Sour, Salty",Heating,Pungent,Can increase Pitta if not balanced; supports Vata in lean fish versions
Spinach Dal,"Sweet, Bitter, Salty",Cooling,Sweet,Balances Vata and Pitta; light on Kapha
Dal Fry,"Sweet, Pungent",Cooling,Sweet,"Balances Vata and Pitta, pacifies Kapha"
Biriyani with vegetables,"Sweet, Spicy, Astringent",Heating,Sweet,"Balances Vata, increases Kapha if overdone"
Rasam Pepper Rasam,"Pungent, Sour",Cooling,Sour,"Balances Vata, pacifies Kapha while stimulating Pitta"
Paneer Butter Masala,"Sweet, Salty, Rich",Heating,Sweet,Balances Pitta; pacifies Vata when not overly oily; may slightly elevate Kapha
Shakshuka,"Sweet, Sour, Salty",Heating,Sweet,"Balances Vata and Pitta; if oily, can increase Kapha"
Pulao with Peas,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, slightly pacifies Pitta when mildly seasoned"
Navratan Korma,"Sweet, Salty, Sour",Cooling,Sweet,"Gentle balancing for all three doshas, favors Kapha stability"
Rasgulla,Sweet,Cooling,Sweet,"Balances Vata and Kapha, pacifies Pitta with moderate sugar content"
Butter Naan,"Sweet, Salty",Heating,Sweet,"Increases Kapha if overused, supports Vata with warm serving"
Pesto Pasta (Veg),"Sweet, Salty, Umami",Cooling,Sweet,Balances all doshas when paired with vegetables and olive oil
Rasam (Tomato Soup with Spice),"Sour, Pungent",Heating,Sour,"Balances Pitta, can aggravate Kapha if overly sour"
Pulao with Veggies,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, light on Pitta"
Makhani Pasta,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata, gentle on Kapha, can mildly increase Pitta with red sauce"
Tomato Basil Soup with Cheese Toast,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Vata and Kapha, may increase Pitta with excess cheese"
Ubaliobike Varnam (South Indian Dal),"Sweet, Bitter, Astringent",Heating,Sweet,"Balances Vata, pacifies Kapha when legumes are properly cooked"
Chole,"Sweet, Sour, Pungent",Heating,Pungent,"Balances Kapha, energizes Vata, can irritate Pitta with heavy spices"
Rajgira Chilla,"Sweet, Astringent",Cooling,Sweet,"Balances Vata, gentle on Pitta, light for Kapha"
Malai Kofta,"Sweet, Salty, Rich",Cooling,Sweet,Increases Kapha if consumed in excess; balances Vata with dairy richness
Tandoori Chicken (vegetarian version),"Spicy, Smoky",Heating,Pungent,"Balances Vata and Kapha; boosts metabolism, can increase Pitta with heat and spice"
Butter Chicken (vegetarian)**,"Sweet, Umami, Salty",Heating,Sweet,Increases Kapha if rich; balances Vata with protein; may elevate Pitta with butter
Gulab Jamun (dessert),Sweet,Cooling,Sweet,Balances Kapha with moderation; can vitiate Kapha if eaten in excess; Vata balanced by syrup
Ratatouille with Dal,"Sweet, Sour, Salty",Cooling,Sweet,Balances all three doshas with fiber and legumes; reduces excessive Kapha
Quinoa Pulao with Vegetables,"Sweet, Salty",Cooling,Sweet,Balances Vata and Pitta; Kapha neutral if portions are moderate
Margarita Pizza,"Salty, Umami, Sweet",Cooling,Sweet,Balances all doshas with slight Kapha lift
Soba Noodle Salad,"Salty, Sour, Umami",Cooling,Sour,"Pacifies Vata, Balances Kapha"
Quinoa Chili,"Spicy, Sweet, Sour",Heating,Sour,"Balances Vata, Increases Kapha"
Eggplant Parmesan,"Sweet, Bitter, Umami",Cooling,Sweet,"Balances Vata, Pitta; Reduces Kapha slightly"
Pasta Arrabbiata,"Pungent, Sour",Heating,Pungent,"Increases Pitta, reduces Kapha relief when oily"
Chole Bathure,"Sweet, Salty, Sour",Heating,Sweet,"Increases Kapha, balances Vata"
Samosa (Vegetable),"Salty, Pungent",Heating,Pungent,"Increases Kapha, may aggravate Pitta when deep-fried"
Quinoa Stir-fry,"Sweet, Salty",Cooling,Sweet,"Balances all doshas, with emphasis on Vata and Kapha"
Tandoori Salmon,"Salty, Pungent",Heating,Pungent,"Balances Kapha, reduces Vata imbalance, can mildly pittan fire up if chili heavy"
Mung Bean Khichdi,"Sweet, Astringent",Cooling,Sweet,"Balances Vata and Pitta, gentle on Kapha"
Quinoa Vegetable Stir-fry,"Sweet, Sour, Umami",Heating,Sweet,"Balances Vata, supports Pitta regulation, neutral for Kapha"
Paneer Frankie,"Sweet, Salty, Spicy",Heating,Pungent,"Stimulates Agni, increases Kapha in larger portions"
Vegetable Sambar,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Vata and Kapha, mildly pacifies Pitta"
Chicken Biryani,"Sweet, Spicy",Heating,Sweet,"Increases Kapha and Pitta, balances Vata with careful portions"
Gobi Aloo,"Sweet, Sour, Astringent",Heating,Sweet,"Balances Vata, mildly increases Kapha when heavy with oil"
Quinoa Salad with Yogurt Dressing,"Sweet, Sour, Astringent",Cooling,Sweet,"Balances all three doshas, especially Vata and Pitta when light on dressing"
Caprese Pasta,"Sweet, Sour, Umami",Cooling,Sweet,Balances all doshas when used with olive oil and fresh basil
Vegetable Stir-Fry with Tofu,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata and Kapha, calms Pitta with light seasoning"
Seaweed Sushi,"Salty, Sour",Cooling,Sour,"Balances Kapha and Pitta, reduces Vata when accompanied by fresh vegetables"
Butter Paneer Pasta,"Sweet, Rich, Salty",Heating,Sweet,Balances Pitta and Kapha; Vata may be slightly increased with heavy cream
Masoor Dal Soup,"Sweet, Sour",Cooling,Sweet,Balances all three doshas when spiced moderately
Rajma Salad,"Sweet, Astringent",Cooling,Sweet,"Balances Vata and Kapha, light for Pitta"
Vegetable Stir-fry with Tofu,"Sweet, Salty, Pungent",Cooling,Sweet,Balances all three doshas when cooked with light oil
Rajgira Chapati with Spinach,"Sweet, Astringent",Cooling,Sweet,"Balances Vata and Pitta, light for Kapha"
Mediterranean Quinoa Salad,"Sweet, Sour, Astringent",Cooling,Sweet,Balances all doshas
Schezwan Noodles,"Pungent, Salty",Heating,Pungent,"Increases Kapha, Increases Pitta"
Biryani (Vegetarian),"Sweet, Spicy",Heating,Sweet,Balances all doshas with mild Kapha rise
Dal Takhni,"Sweet, Sour",Heating,Sweet,"Balances Vata, Increases Pitta"
Prawn Curry,"Salty, Sour, Pungent",Heating,Pungent,"Increases Pitta, Balances Vata"
Sambar with Rice,"Sour, Sweet",Cooling,Sweet,"Balances Vata and Kapha, light for Pitta if not overseasoned"
Ratatouille (Indianized),"Sweet, Sour, Bitter",Cooling,Sweet,"Balances Vata and Pitta, light on Kapha"
Pasta Arrabiata,"Pungent, Sour",Heating,Pungent,Elevates Pitta if spicy; may aggravate Vata in fasting conditions
Lentil Soup (Dal),"Sweet, Astringent",Cooling,Sweet,Supports all doshas with emphasis on Vata and Kapha; soothing to digestion
Roti with Butter,"Sweet, Salty",Heating,Sweet,"Increases Kapha, increases Pitta with excess butter; stabilizes Vata when moderate"
Mutton Seekh Kebab,"Pungent, Sour",Heating,Pungent,"Stimulates Agni; increases Vata and Kapha tendencies, may raise Pitta with heat"
Chili Paneer,"Sweet, Pungent, Salty",Heating,Pungent,"Energizes Kapha and Pitta, stabilizes Vata when served with greens"
Tom Yum Soup (Vegetarian),"Sour, Salty, Umami",Heating,Sour,"Reduces Kapha, balances Vata, mildly increases Pitta due to spice"
Quinoa and Roasted Vegetable Bowl,"Sweet, Astringent, Sour",Cooling,Sweet,Balances Vata; pacifies Kapha with olive oil; maintains Pitta stability
Tandoori Salmon (or Paneer),"Salty, Spicy, Sour",Heating,Pungent,Balancing for Vata and Kapha; can aggravate Pitta with excess spice
Rajma (Kidney Bean Curry),"Sweet, Salty, Pungent",Heating,Sweet,"Balances all three doshas in moderate amounts, with fiber support"
Eggplant Bharta,"Bitter, Sour, Sweet",Cooling,Sweet,Balances Vata; mild Kapha pacification; neutral for Pitta
Cauliflower Tikka Masala,"Sweet, Pungent, Sour",Heating,Pungent,Balancing for Vata and Kapha; can increase Pitta with heavy chilies
Mango Chutney,"Sweet, Sour",Cooling,Sweet,Balances Vata and Kapha; mildly reduces Pitta with controlled sugar
Butter Chicken (Rajcuisine),"Sweet, Salty, Umami",Heating,Sweet,"Balances Pitta, Increases Kapha slightly"
Sushi Roll (Veg),"Salty, Umami",Cooling,Sweet,"Balances Vata, pacifies Kapha, gentle on Pitta"
Pav Bhaji,"Sweet, Salty, Spicy",Heating,Pungent,"Balances Kapha, stimulates Agni, may aggravate Pitta with extra spice"
Ratatouille with Basil,"Sweet, Sour, Umami",Cooling,Sweet,"Balances Vata and Kapha, calms Pitta"
Masala Chai with Ginger,"Sweet, Spicy, Astringent",Heating,Pungent,"Balances Kapha, stimulates Vata, warms Pitta"
Tom Yum Soup (Indianized),"Sour, Salty, Pungent",Heating,Pungent,"Balances Vata and Kapha, cools Pitta slightly"
Chicken Tikka Masala,"Sweet, Sour, Spicy",Heating,Pungent,"Balances Pitta, elevates Kapha"
Sautéed Tofu with Veggies,"Sweet, Salty, Bitter",Cooling,Sweet,"Balances Vata and Kapha, slightly increases Pitta"
Moussaka (Indian version),"Sweet, Sour, Mildly Bitter",Cooling,Sweet,"Balances Vata, reduces Kapha, harmonizes all doshas"
Gobi Reeded Curry,"Sweet, Sour, Spicy",Heating,Pungent,"Increases Kapha, balances Vata"
Sambar,"Sweet, Sour, Spicy",Heating,Pungent,"Balances Kapha, supports Vata balance"
